Lat,Lng,SubCategory,Distance to light
37.29408037,-121.97077,APP - Appliances,0.002099304
37.29506374,-121.9904282,APP - Appliances,0.1576182
37.29512049,-121.8724806,APP - Appliances,0.0396706
37.29535065,-121.979597,APP - Appliances,0.146787
37.29565919,-121.9766462,APP - Appliances,0.1438362
37.29671649,-122.0168254,APP - Appliances,0.2002261
37.29757938,-121.821763,APP - Appliances,0.0090335
37.2987389,-121.8364899,APP - Appliances,0.0148176
37.30272139,-122.0185336,APP - Appliances,0.0123849
37.30359396,-121.8611779,APP - Appliances,0.0599594
37.30441636,-121.8224302,APP - Appliances,1.56E-06
37.30449104,-121.9637551,APP - Appliances,0.1413235
37.30478542,-121.972268,APP - Appliances,0.003465001
37.30518891,-121.9943762,APP - Appliances,0.0027079
37.30856146,-121.9893102,APP - Appliances,6.01E-06
37.3087455,-121.9636246,APP - Appliances,0.0256806
37.30962301,-121.831148,APP - Appliances,0.1113498
37.31070169,-121.9194218,APP - Appliances,0.118919
37.31070169,-121.9194218,APP - Appliances,0.118919
37.31121316,-121.8215767,APP - Appliances,0.0855272
37.31217967,-121.9280276,APP - Appliances,0.0105181
37.31218938,-121.8213309,APP - Appliances,0.0961786
37.31256896,-121.8700941,APP - Appliances,0.074132
37.31293904,-121.9944012,APP - Appliances,0.1541953
37.31355504,-121.8780252,APP - Appliances,0.0028992
37.313784,-121.9456451,APP - Appliances,0.0326784
37.314107,-121.8800444,APP - Appliances,2.02E-06
37.31414857,-121.908167,APP - Appliances,0.0281245
37.31667288,-121.9692734,APP - Appliances,0.0583106
37.31686189,-121.80109,APP - Appliances,0.0545963
37.31731989,-121.8549007,APP - Appliances,0.0428725
37.31813891,-121.925421,APP - Appliances,0.0277073
37.31828149,-121.817241,APP - Appliances,0.055793
37.31851118,-121.968344,APP - Appliances,0.0147366
37.31861034,-121.9168431,APP - Appliances,1.64E-06
37.31861034,-121.9168431,APP - Appliances,1.64E-06
37.31967422,-121.8754277,APP - Appliances,1.94E-06
37.32034777,-121.879746,APP - Appliances,9.65E-07
37.32069846,-121.8150524,APP - Appliances,0.0646944
37.32071995,-121.776256,APP - Appliances,0.1034908
37.32090452,-121.7991909,APP - Appliances,0.1179699
37.32128146,-121.8180491,APP - Appliances,4.62E-06
37.3214259,-121.8917588,APP - Appliances,0.0737051
37.32224092,-121.8529601,APP - Appliances,0.0248693
37.32224092,-121.8529601,APP - Appliances,0.0874781
37.32290482,-121.8510835,APP - Appliances,0.0131985
37.32331221,-121.8456563,APP - Appliances,0.0421321
37.32612349,-121.9092399,APP - Appliances,0.0292264
37.32659579,-121.8805868,APP - Appliances,0.0460241
37.32664521,-121.8720004,APP - Appliances,0.0374377
37.32668474,-121.8678016,APP - Appliances,0.0332389
37.32705552,-121.9433298,APP - Appliances,0.1653733
37.32712864,-121.8270759,APP - Appliances,0.106602
37.32732109,-121.8739246,APP - Appliances,0.0597533
37.32860036,-121.8806209,APP - Appliances,0.0501854
37.32877897,-121.9097464,APP - Appliances,0.1114457
37.3302931,-121.7823792,APP - Appliances,0.0462925
37.33032066,-121.8442117,APP - Appliances,0.01554
37.33039267,-121.8544125,APP - Appliances,0.0257408
37.33057618,-121.7996405,APP - Appliances,0.0102764
37.33161023,-121.8742732,APP - Appliances,0.0040608
37.33289009,-121.7816045,APP - Appliances,0.0521253
37.33352238,-121.9099479,APP - Appliances,0.0756635
37.33419365,-121.8514613,APP - Appliances,0.0061959
37.3345445,-121.8366716,APP - Appliances,0.0085938
37.33455031,-121.8764572,APP - Appliances,0.0463007
37.33507426,-121.8928582,APP - Appliances,0.1295414
37.33533895,-121.84115,APP - Appliances,0.0778332
37.33676408,-121.7924171,APP - Appliances,0.0475725
37.33682105,-121.9275121,APP - Appliances,0.0875225
37.33717127,-121.8933309,APP - Appliances,0.0354892
37.3380429,-121.9289918,APP - Appliances,0.0716774
37.33941113,-121.8687032,APP - Appliances,2.27E-06
37.33990368,-121.843109,APP - Appliances,0.0400346
37.34111619,-121.88851,APP - Appliances,0.0136267
37.34160344,-121.8739357,APP - Appliances,0.0108509
37.34192382,-121.8325171,APP - Appliances,0.0414177
37.34247367,-121.7947058,APP - Appliances,0.0403039
37.34268416,-121.8810962,APP - Appliances,0.0764641
37.3429875,-121.8527968,APP - Appliances,0.0164449
37.34340252,-121.9142123,APP - Appliances,0.0577809
37.34346951,-121.9285908,APP - Appliances,0.0721594
37.34483502,-121.8225857,APP - Appliances,0.0368806
37.34517,-121.8900687,APP - Appliances,0.0728975
37.34604673,-121.8271678,APP - Appliances,0.0334089
37.34619053,-121.8879802,APP - Appliances,0.0274035
37.34619582,-121.8604253,APP - Appliances,0.000151404
37.34626901,-121.8646527,APP - Appliances,0.105202
37.34656253,-121.8686839,APP - Appliances,0.0556673
37.34788576,-121.8658815,APP - Appliances,3.36E-07
37.3478987,-121.9202198,APP - Appliances,0.0543381
37.34794198,-121.8589321,APP - Appliances,0.0069496
37.34812992,-121.8309615,APP - Appliances,0.0087693
37.3493325,-121.887473,APP - Appliances,0.0154647
37.34992543,-121.9167682,APP - Appliances,0.0516857
37.35079201,-121.8782913,APP - Appliances,1.16E-06
37.35083339,-121.8270065,APP - Appliances,0.0512843
37.35160946,-121.8826873,APP - Appliances,0.0332826
37.35263908,-121.824361,APP - Appliances,0.0627246
37.35358251,-121.802466,APP - Appliances,0.0390991
37.35425137,-121.7950431,APP - Appliances,0.0443062
37.35464157,-121.8539732,APP - Appliances,0.011062
37.35569432,-121.8337819,APP - Appliances,0.0297514
37.35743743,-121.8172365,APP - Appliances,0.0154377
37.35751153,-121.8084032,APP - Appliances,0.0066044
37.35823924,-121.9121507,APP - Appliances,0.0712537
37.35852434,-121.8095609,APP - Appliances,0.0413828
37.36106086,-121.8872082,APP - Appliances,0.0247293
37.36194607,-121.8859766,APP - Appliances,0.0612533
37.36232188,-121.8314921,APP - Appliances,0.0544849
37.36928516,-121.8418256,APP - Appliances,0.0186254
37.3700773,-121.8430134,APP - Appliances,0.003200203
37.37138442,-121.8687778,APP - Appliances,0.0095289
37.37164406,-121.8638895,APP - Appliances,0.0751866
37.37193045,-121.8936433,APP - Appliances,0.0454328
37.37510975,-121.8356085,APP - Appliances,1.09E-06
37.37630335,-121.8850207,APP - Appliances,0.0279193
37.38220156,-121.9053676,APP - Appliances,0.0951103
37.3855504,-121.8323658,APP - Appliances,0.0408852
37.3917397,-121.8364113,APP - Appliances,0.0329207
37.39875708,-121.8637967,APP - Appliances,0.0349845
37.41116172,-121.9583206,APP - Appliances,0.0880543
37.4125467,-121.8783625,APP - Appliances,0.0710003
37.41628894,-121.858202,APP - Appliances,0.000619315
37.41695779,-121.8714774,APP - Appliances,0.0126561
37.41695779,-121.8714774,APP - Appliances,0.0126561
37.41767477,-121.8698413,APP - Appliances,0.011020001
37.41983204,-121.8649229,APP - Appliances,0.0741956
37.42359707,-121.9604305,APP - Appliances,0.021312
37.19939878,-121.7413009,CON-Construction Material,0.0900517
37.23190898,-121.8077131,CON-Construction Material,0.0890337
37.23261168,-121.7722343,CON-Construction Material,0.1326454
37.23660732,-121.7936986,CON-Construction Material,0.1038993
37.23686512,-121.8325336,CON-Construction Material,0.0080567
37.23687331,-121.8306068,CON-Construction Material,0.009983501
37.23822895,-121.9168606,CON-Construction Material,0.0947584
37.24151231,-121.7788294,CON-Construction Material,0.0398759
37.24299549,-121.868973,CON-Construction Material,0.0382689
37.24796935,-121.9222974,CON-Construction Material,0.0796972
37.24906455,-121.8946126,CON-Construction Material,0.0620378
37.2503584,-121.8588765,CON-Construction Material,0.092078
37.25300677,-121.8402424,CON-Construction Material,3.91E-06
37.25627225,-121.8113343,CON-Construction Material,0.0011766
37.25693508,-121.9185959,CON-Construction Material,0.1113758
37.25888432,-121.8193579,CON-Construction Material,0.0054212
37.25889565,-121.8128774,CON-Construction Material,0.0119017
37.26715637,-121.9074813,CON-Construction Material,0.0239851
37.26831965,-121.7963987,CON-Construction Material,1.41E-06
37.26863692,-121.8410523,CON-Construction Material,0.044653501
37.26872815,-121.8480193,CON-Construction Material,0.0516205
37.27292389,-121.8011542,CON-Construction Material,0.0872277
37.27491742,-121.9097285,CON-Construction Material,0.0145301
37.27883934,-121.8270022,CON-Construction Material,0.0026797
37.28416636,-121.8142976,CON-Construction Material,0.0148061
37.28765347,-121.9096798,CON-Construction Material,0.0645234
37.28778516,-121.8264274,CON-Construction Material,0.018729
37.28864684,-121.9073979,CON-Construction Material,0.0747165
37.28906888,-121.8338917,CON-Construction Material,0.001210309
37.28975002,-121.8716255,CON-Construction Material,0.034108501
37.29096544,-121.816824,CON-Construction Material,0.0048328
37.29148105,-121.8184312,CON-Construction Material,1.26E-06
37.29298027,-121.8186835,CON-Construction Material,0.1568702
